User Name,Full Name,Profile Pic
athayamuhammad,MUHAMMAD KARIM ATHAYA SABIL,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/117309613_389877711985092_2971060753072812323_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=zkVeusPTQo0AX8yTZ2V&tp=1&oh=646d2ca9d2f11cf2eb4fb526675a590a&oe=6026A930
nurhasanah8113,Siti Nurhasanah,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/61916019_341137989909992_2408851911408091136_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=8TGT2PxAaHgAX9fN3v_&tp=1&oh=35038f1e07a335cd9aef9455660c9811&oe=6027174D
bimobn,Bimo Bintang Notonegoro,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/71298475_495311387694468_413683987161022464_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=k0VXXUBTROgAX93s1KE&tp=1&oh=3a0c2c7a7276308bef94ae449cfddbc5&oe=602682EC
anna_fy27,anna_Fy,https://instagram.fpku3-2.fna.fbcdn.net/v/t51.2885-19/s150x150/122280796_694478807940963_1292439614934492070_n.jpg?_nc_ht=instagram.fpku3-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=4UgTaDl1xKgAX8qffDh&tp=1&oh=f2915b073bf51eafc725dc738dff5daa&oe=602501F9
rofiahelsandrie,Rofiah El Sandrie,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/25025906_527175904320446_2717644744137113600_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=vpES69si4hcAX9e45QC&tp=1&oh=fc6632b1429120668592495501aa3f22&oe=6026CD09
aim_elm,Elmi,https://instagram.fpku3-2.fna.fbcdn.net/v/t51.2885-19/s150x150/100652295_2668108270127530_3288965962480484352_n.jpg?_nc_ht=instagram.fpku3-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=arwuKXjIh1wAX8KKOlg&tp=1&oh=a1b89ae1f926a8c5d3d696eaed9ddb76&oe=60257990
niiikenps,niken puspitasari,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/132307770_236370817882922_5420546468927311717_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=Z2UmRon34iIAX9nzCTy&tp=1&oh=be8553b080553ecda1e961ec02f490cf&oe=60256351
ndhana.z,indana zulfa,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/136079839_817554522157913_7490731205898682224_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=Uc4pi3ivX6gAX8UFET0&tp=1&oh=e43bc4b04b2e2f449cabd2ed6ca60234&oe=6024A992
aiis_anastasya,𝓐𝓲𝓼 𝓐𝓶𝓲𝓷𝓪𝓱 𝓡𝓪𝓽𝓷𝓪 𝓐𝓷𝓪𝓼𝓽𝓪𝓼𝓲𝓪  🌸,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/121079146_743306706222509_4635580151587349781_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=LCjcKGY2qesAX9D22Gh&tp=1&oh=2a49e74735c53076ed62a684ed89661e&oe=602509AB
yuli_anggraeni97,Yuli Anggraeni,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/104429821_313531339660691_1328426512432987758_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=P9PuRoRrGsIAX-EUBO8&tp=1&oh=ba80d492db3380e77067682543f1ac36&oe=6024328F
sesha_496,Sesha Anggriaana,https://instagram.fada1-9.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ad=z-m&_nc_ht=instagram.fada1-9.fna.fbcdn.net&_nc_ohc=B51HHw1q1zUAX-ZULBn&oh=4fe5ac15fad1a35dde5e7f3ed80a9ce2&oe=6024930F&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2
kevin9lu,k e v i n,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/83947395_636904663548241_2558923798216704000_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=RJasJSQJKSIAX-JscYz&tp=1&oh=5c77f703fc04c116e7f9737b3531cb6e&oe=602681FA
edohuangmusic,EHMC,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/80734063_2041083032703633_7423473593834536960_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=DogrG4Yo2BEAX9BA7m_&tp=1&oh=b1033541a1ef71934fe56d23485f5277&oe=6026DEE4
dindaanadya,Dinda Anadya Hayati,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/123049768_694522608138336_8257429723290932022_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=hQCcpNSa64QAX_1FVLH&tp=1&oh=d07e68a6eea7e5140d2bcbefc5cef31a&oe=6026C041
rgebbyghaisani,R Gebby Ghaisani,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/136778360_156557799309412_7764292770593976887_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=ejAHTSGDghcAX-UrOBG&tp=1&oh=bc63337e392512eb3345e0965563f759&oe=6025591C
titiek_widyastuti,Titiek Sri Widyastuti,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/23970195_128304351196861_5441931307305140224_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=uyqbYj3Rn-IAX_43HH3&tp=1&oh=04c74ff914a70ae90ed0ea6cf8f5bc45&oe=6026A8BC
tina_ayu07,Tina Ayuning Tyas,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/118932814_3537564979641033_944359693992199555_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=JcmflmTdSbEAX-tyAoa&tp=1&oh=9d9ff50777012581095a5f3d7af91895&oe=60242F70
maulanafery,Fery Maulana,https://instagram.fada1-9.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ad=z-m&_nc_ht=instagram.fada1-9.fna.fbcdn.net&_nc_ohc=B51HHw1q1zUAX-ZULBn&oh=4fe5ac15fad1a35dde5e7f3ed80a9ce2&oe=6024930F&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2
wibawaptra,I Wayan Wibawa Putra,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/96254259_1372457356475670_705000713926737920_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=7gGzBSMS_gYAX-fKyht&tp=1&oh=c53a461a950ba3e15660339d482c71ac&oe=60267B37
rivaatul_mahmudah0402,Riva'atul Mahmudah,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/123967937_3570503316362725_740518830586886411_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=xdtcQ_xhHIsAX-S1OQl&tp=1&oh=2f56e07faae72f327abac9ea675e6bc0&oe=60262BB8
maatsgy,Sugiyanto Maat,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/118471984_1009478486172462_1133604533019307343_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=9FRXxKW4AJEAX98cAV0&tp=1&oh=8aecc757a70d732f11e4597937d0a07c&oe=60240931
oqt_foodss.id,@OQT FOODSS ID,https://instagram.fpku3-2.fna.fbcdn.net/v/t51.2885-19/s150x150/126011827_1485610651638331_4593832834268292394_n.jpg?_nc_ht=instagram.fpku3-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Pp1pkucuwzYAX8MjjcM&tp=1&oh=00a22066564dae7bbd25a8d482695a57&oe=60254F6A
tamara_mdy,meidy_tamara,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/74945045_2851871531510286_6345805830423576576_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=xmKLcDYcwAoAX9FPl_I&tp=1&oh=956ee8c1faaabc1abb115517b3476d50&oe=6024DC4A
annesvn,Anne Savana,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/43650748_534722683663036_6949562165044969472_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=E7mrvDQG_pwAX_4rY2_&tp=1&oh=e5515f660fa0fbd103642f86e4f5ee9e&oe=602696C8
laviya_cake,ʟᴀᴠɪʏᴀ_ᴄᴀᴋᴇ & ᴄᴏᴏᴋɪᴇs,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/123621174_186925439592280_7965131435691722952_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=FPF6SOZM2GAAX_Pi4EP&tp=1&oh=1ec027498e8eec7d545943dc6d153bfd&oe=6027AD5F
vidioin_aja,Jasa Video Promosi & Animasi,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/136151137_418032532879225_5774441711727884699_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=e6DF0-xUdaMAX-yzBFR&tp=1&oh=b658db8102b23a3e34082b7be78eddd7&oe=6024B7B6
myhkzr97,Maliya Khalil,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/132880644_3348609415266230_4220366137232359351_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=Fw1ywZ6_jUIAX-xFTig&tp=1&oh=46f0bf3c7381ec551d248dd3aabe21d5&oe=6025F336
erliinaaaa,L I N A,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/129774023_2956426657921181_1793271203628476354_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=kmnzNuaU3XoAX8lNEQE&tp=1&oh=e8a75c54be5f8a61988fd9fdb1cff2fe&oe=6027639F
neneng_s_dimo,Neneng's Dimo,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/124302168_796492067872926_4620501001050727645_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=wiyXNpACjRgAX-1H1Sc&tp=1&oh=e347dd4dd16bdead4c75a9155d2122d4&oe=60244815
lindagsmynt,linda gusmayanti,https://instagram.fpku3-2.fna.fbcdn.net/v/t51.2885-19/s150x150/130742399_834535540664995_3981765431794241136_n.jpg?_nc_ht=instagram.fpku3-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=iah0w3eFZykAX9QLbCv&tp=1&oh=128ab6721d55e813e8c6318220fb0d25&oe=60249B56
evahasanah19,evahasanah,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/79336312_3309629759054456_4232143885943439360_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=FJE60jBt440AX-kWmct&tp=1&oh=da1213b41b68cf181c34b3742a4771db&oe=6025D2DD
juliajovi,Julia Jovi,https://instagram.fpku3-2.fna.fbcdn.net/v/t51.2885-19/s150x150/46841960_293127271403551_7327324347117338624_n.jpg?_nc_ht=instagram.fpku3-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=rOvuk7bk1LwAX8IXZL6&tp=1&oh=0fe96ddf5d5e8b93065793ebd8267fab&oe=6026FD4A
rahmahwatidewi,Rahmahwati Dewi,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/121648891_118750420004437_5266216166704932562_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=lHnIkPwsPe4AX-lnuGS&tp=1&oh=9b4f6af7af556d9d871841c2c6e33c80&oe=60255090
tsikyomi,Bambang J.r,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/122434830_880909439334664_8471629205939575484_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=vyl9PCCbMAQAX-D1elX&tp=1&oh=91d3d919b1b00ccd90a6baf3b5aa08b5&oe=60270870
sarah.chaniago.351,"nurfazlina sarah,🔐",https://instagram.fpku3-2.fna.fbcdn.net/v/t51.2885-19/s150x150/119109739_1013972049045670_8538838259804834962_n.jpg?_nc_ht=instagram.fpku3-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=C5hfpuUFU-kAX98vsfU&tp=1&oh=e45ae403dbf896de7bfa53c3abfe03d6&oe=602759AE
sheilla_dianggra35,Sheilla Dia Anggraini_Sela 😊,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/128534538_854815395293798_520512414022672384_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=KA1yaFqQjxQAX9JI8a2&tp=1&oh=210d7b5150f7491e725b72e9805274b1&oe=6024FAF8
lastri_abercio,Dareen Arkan Abercio,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/128923596_718306439084305_6492416216374870755_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=TMCCSdUeADoAX85sGcx&tp=1&oh=c4c346a2e93f7fb898a396949c547dbb&oe=6023E2DE
elza_lay,🌼 eLza Lay 🌼,https://instagram.fpku3-2.fna.fbcdn.net/v/t51.2885-19/s150x150/133904739_685444778674999_7075133356595072511_n.jpg?_nc_ht=instagram.fpku3-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=gkMGXRIzGHkAX9LzWpo&tp=1&oh=d47c9c4e4dfa2aa6c47dbecce1d146af&oe=6025FC2D
nadlifah_mdwf,Bintin Nadlifah,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/50598036_2119031141517671_2733600186864500736_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=-WkNJ4b70K0AX9b2m45&tp=1&oh=5391731fcb3554f8817b7979d1c53f15&oe=60244348
bobby_rachmat74,Bobby Rachmat,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/33545878_1645525098899997_2938557026957000704_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=ugUYmtP8J1oAX-6QtrB&tp=1&oh=2fd2e9f15dc860f2c13caefe73f9155a&oe=60241FB8
cece_iita,Sri Rachmawati Puspitasari,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/133714606_386871432616372_7464006821994724821_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=h8kjWFAUaYkAX8sx7GX&tp=1&oh=0b3c60e248347e361d227c5b4710ceeb&oe=60268F36
diana_shintaa,Shinta Diana,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/18514111_1914351162145698_115604765668278272_a.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=hI7vTdVm69UAX8P5X9s&tp=1&oh=b429d269b40a6460cb47881780f19b1b&oe=6024DDA5
firmansyahh.a,A_Fmsyh,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/74505906_504991393428621_3305561355334975488_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=v8y-De4SXXwAX_uT9Kk&tp=1&oh=241fc0524b821637482e7f6d6791c23e&oe=6027802C
cutseladara,"Cut Sela Dara Rahayu, S.STP",https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/120578560_390229349045042_456596156419476115_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=iBE6QvgdGbgAX8eFsSe&tp=1&oh=5b07f52ecbb79be090de429dc0ecb85c&oe=60262616
ekanovellaadv,Eka Novella Adventina,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/83705587_548905399167260_2354571547785560064_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=hpoxtG0pgU4AX-CuUWJ&tp=1&oh=9eec9820739d5310c8f73ca555504648&oe=6026F183
echiell_shilton,RiskiPratiwi,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/91056015_255442315461024_8852817514279731200_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=l12AC1i0dVkAX9FDTrp&tp=1&oh=3c666d6c9c4a75cabcf5dc6bf3172ed5&oe=60276D00
nindyaoctaviany,Nindya Octaviany Siegfried,https://instagram.fpku3-2.fna.fbcdn.net/v/t51.2885-19/s150x150/122710371_554544118711087_6979603328778352107_n.jpg?_nc_ht=instagram.fpku3-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=xXtThGZ4DmcAX9FFoIl&tp=1&oh=e166aec3fd6fb4f5a9810085124ea59b&oe=602402C8
linda_yudiawan,lindaamalia129,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/130302967_381341489642636_3297418707040905026_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=iX0AjUnukmwAX8zG6B2&tp=1&oh=51074244e81e446dee68f440e9f4a1e0&oe=6023E787
ivafildzah,ivafildzah,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/34651845_201074203949274_1442766397619830784_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=z80E3wTjM2kAX_AqkDT&tp=1&oh=e491c5bd72117d2cbcb3ed637b1a96cd&oe=60263429
ezarath_,Ezar Athallah Finnegan,https://instagram.fpku3-2.fna.fbcdn.net/v/t51.2885-19/s150x150/134409966_811895262997954_4753376179282802623_n.jpg?_nc_ht=instagram.fpku3-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=mw0Jpshz2VgAX8tKyx8&tp=1&oh=405af28c8ef1484e3397f441a3388801&oe=602566EE
kang_daging,kangdaging,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/83910265_772803679923491_215833894536808200_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=w6z4f0FBIvwAX88N47H&tp=1&oh=3f7ba7c6b8a1ea28eff27d487d2c5988&oe=6024FCB5
irma_cimong,BONVISA,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/120150816_158952629243557_2487813893803193481_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=j0d6zblljDcAX8o4ajA&tp=1&oh=d3ff81aca67bb601a84afa4d152dd9b2&oe=60264F05
shanty_lynda,Lienda ShaNtyy,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/123132340_704744283509106_5177461001413456353_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=jI8ao-MJj1wAX9ukyS3&tp=1&oh=ff166d331993eedf91d17b6f4f818082&oe=6024B44F
vandy_f.seiei,vandy achmad,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/50693398_553717421773701_5901218746113982464_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=04sQHZ9OwkUAX_Q6Qw3&tp=1&oh=b845a3aee927bfec3d1d50940d034dad&oe=6025F327
im_miss.dwi,,https://instagram.fpku3-2.fna.fbcdn.net/v/t51.2885-19/s150x150/135839343_728912771369323_1143534498493560766_n.jpg?_nc_ht=instagram.fpku3-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=OT4m5RufD9YAX_3BhCt&tp=1&oh=f2c7327a901af0d9885afda83730588e&oe=6025D3D3
widhy_satria_rastafara,Widhy Satria Rastafara,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/60234443_1271876219655697_3981601633065762816_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=vLYXsqIdAv0AX__JvHB&tp=1&oh=8c076ca5d84ac67de40dbf6eb1988d24&oe=60263706
anthin_sofie,Cisca FieAnthin,https://instagram.fpku3-1.fna.fbcdn.net/v/t51.2885-19/s150x150/133627892_5137709989587299_5495260010332507581_n.jpg?_nc_ht=instagram.fpku3-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=oAmgeSBMJIsAX-rrXkz&tp=1&oh=b6a2a94bd46b0e4180b2086e5bf74cf9&oe=602500E0
yuniaretnow,Nia Niu,https://instagram.fpku3-2.fna.fbcdn.net/v/t51.2885-19/s150x150/13269517_260329904356966_453661010_a.jpg?_nc_ht=instagram.fpku3-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=u2ebIo3x4E0AX-4NyL2&tp=1&oh=35f58a8d7082bb3ac392343cb8527d6f&oe=602544FF
wul_ndarii,N D A R I,https://instagram.fpku3-2.fna.fbcdn.net/v/t51.2885-19/s150x150/119046897_163371805388803_9149107582539334186_n.jpg?_nc_ht=instagram.fpku3-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=D2QNMhA82GEAX_V0gOO&tp=1&oh=26da3394a5e1a276fc016a1055b2d3d4&oe=6025FC8D
maryantinovitasari,maryanti novita sari,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/136432974_193323999146553_6075230290947726942_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=89VH064y0BsAX9tTZEl&tp=1&oh=1bc3242fa2bbaf3f2f7436b98881d2c8&oe=60273850
syifaaisyahrahmah,𝙎𝙮𝙞𝙛𝙖 𝙎𝙞𝙗𝙪𝙚𝙖 𝙈𝙖𝙠𝙚 𝙐𝙥 𝙎𝙞𝙖𝙣𝙩𝙖𝙧 🌹,https://instagram.fpku3-2.fna.fbcdn.net/v/t51.2885-19/s150x150/127461629_386786799100870_3484569853323823644_n.jpg?_nc_ht=instagram.fpku3-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=XLYC4aPKKrkAX9KHMuu&tp=1&oh=1f912a1abfd7404e2a4ee0a95c9102a4&oe=6026AB1F
riscadea8,Risca Deagustin,https://instagram.fpku2-1.fna.fbcdn.net/v/t51.2885-19/s150x150/136238554_2477445012557637_2853480141609385123_n.jpg?_nc_ht=instagram.fpku2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=-l9bw2ze1woAX_nJcj7&tp=1&oh=fba4249c64aa6e97d302cad055150b84&oe=60256096
